date,P_mix,T_max,T_min,Q
1986-01-01,2.5,-2.5,-11.6,0.5127329515877146
1986-01-02,0.2,2.6,-10.7,0.537470067673087
1986-01-03,4.3,2.2,-5.3,0.5329724102030194
1986-01-04,3.4,-4.0,-12.9,0.5262259239979176
1986-01-05,3.6,1.9,-13.3,0.5262259239979176
1986-01-06,2.0,-5.0,-7.3,0.5149817803227486
1986-01-07,0.5,-1.0,-13.1,0.4924934929724102
1986-01-08,6.7,0.8,-6.4,0.5037376366475794
1986-01-09,2.6,-0.6,-3.7,0.5127329515877146
1986-01-10,9.1,2.1,-7.4,0.49024466423737645
1986-01-11,16.0,3.4,-1.8,0.7398646538261322
1986-01-12,9.3,-4.0,-6.6,0.7758459135866737
1986-01-13,31.5,1.0,-6.7,0.6701509630400833
1986-01-14,8.7,6.3,-1.7,0.7488599687662676
1986-01-15,12.9,-4.0,-5.3,0.825320145757418
1986-01-16,23.0,-5.5,-11.3,0.7241228526808956
1986-01-17,0.0,-7.3,-11.0,0.6971369078604893
1986-01-18,5.6,5.7,-10.4,0.6589068193649141
1986-01-19,16.1,9.1,-0.6,0.6723997917751171
1986-01-20,0.0,0.0,-7.8,0.7960853722019782
1986-01-21,0.0,0.6,-8.7,0.7196251952108278
1986-01-22,0.7,1.6,-8.1,0.6948880791254554
1986-01-23,19.0,3.4,-7.7,0.7038833940655906
1986-01-24,20.9,-3.7,-8.0,1.3627902134305048
1986-01-25,13.1,-7.5,-10.7,0.7488599687662676
1986-01-26,3.9,-7.5,-12.8,0.7151275377407601
1986-01-27,0.0,-7.2,-16.5,0.6836439354502863
1986-01-28,0.0,-1.8,-15.1,0.6768974492451848
1986-01-29,0.0,-1.1,-8.6,0.6296720458094743
1986-01-30,7.2,1.9,-3.5,0.6184279021343051
1986-01-31,31.8,2.2,-2.8,0.6364185320145758
1986-02-01,2.9,-1.2,-4.4,0.6251743883394064
1986-02-02,0.1,0.8,-7.6,0.5846954711087975
1986-02-03,0.0,-0.3,-7.5,0.577948984903696
1986-02-04,0.0,1.1,-8.1,0.5554606975533578
1986-02-05,0.0,2.3,-9.2,0.5554606975533578
1986-02-06,0.0,-7.9,-11.1,0.535221238938053
1986-02-07,0.6,-7.8,-13.6,0.5217282665278501
1986-02-08,1.0,-10.8,-15.2,0.5217282665278501
1986-02-09,1.2,-16.3,-20.1,0.4924934929724102
1986-02-10,0.0,-16.1,-23.1,0.4632587194169704
1986-02-11,0.0,-9.0,-22.9,0.4497657470067673
1986-02-12,0.0,-0.4,-15.2,0.45201457574180115
1986-02-13,0.0,-1.5,-13.9,0.454263404476835
1986-02-14,0.0,0.0,-11.0,0.45651223321186873
1986-02-15,0.3,0.9,-8.5,0.45201457574180115
1986-02-16,0.3,-0.1,-7.5,0.45201457574180115
1986-02-17,0.0,3.4,-6.5,0.45201457574180115
1986-02-18,2.4,3.0,-5.8,0.4677563768870381
1986-02-19,7.6,-1.3,-6.5,0.4969911504424779
1986-02-20,0.0,-5.9,-13.0,0.48124934929724106
1986-02-21,0.0,0.5,-13.5,0.4745028630921395
1986-02-22,1.8,1.1,-10.0,0.4677563768870381
1986-02-23,8.6,2.3,-5.6,0.48799583550234243
1986-02-24,2.7,2.0,-7.5,0.5014888079125457
1986-02-25,0.0,-3.6,-10.4,0.47225403435710567
1986-02-26,0.0,-4.4,-13.5,0.4677563768870381
1986-02-27,0.4,1.8,-12.6,0.4677563768870381
1986-02-28,0.1,3.8,-4.1,0.4700052056220718
1986-03-01,0.0,7.4,-2.1,0.48124934929724106
1986-03-02,0.1,6.8,0.1,0.4924934929724102
1986-03-03,7.0,1.4,-2.9,0.5014888079125457
1986-03-04,0.0,0.9,-9.8,0.4924934929724102
1986-03-05,0.0,8.2,-4.6,0.5397188964081209
1986-03-06,3.4,5.1,0.2,0.6768974492451848
1986-03-07,0.8,-2.2,-3.7,0.6948880791254554
1986-03-08,0.0,2.8,-7.9,0.5959396147839667
1986-03-09,0.0,1.9,-9.6,0.5734513274336283
1986-03-10,0.0,5.9,-6.1,0.6026861009890683
1986-03-11,0.0,6.3,-4.5,0.6634044768349818
1986-03-12,0.0,2.8,-3.4,0.7151275377407601
1986-03-13,0.0,2.8,-5.8,0.7263716814159292
1986-03-14,0.0,6.0,-4.6,0.8208224882873503
1986-03-15,0.0,5.5,-4.4,0.949005726184279
1986-03-16,0.0,6.6,-4.5,1.032212389380531
1986-03-17,0.0,4.9,-3.6,1.081686621551275
1986-03-18,0.6,5.4,-2.7,1.088433107756377
1986-03-19,13.4,5.0,-2.1,1.212118688183238
1986-03-20,11.2,2.7,-1.8,1.4864757938573658
1986-03-21,9.3,-3.2,-6.0,1.4032691306611143
1986-03-22,0.1,0.9,-10.9,1.1221655387818847
1986-03-23,16.0,4.2,-6.6,1.1356585111920874
1986-03-24,7.9,9.0,0.4,2.766059344091619
1986-03-25,3.7,1.2,-5.1,3.3507548152004163
1986-03-26,0.1,1.0,-8.7,2.037438833940656
1986-03-27,0.0,10.8,-4.8,1.621405517959396
1986-03-28,14.3,9.6,2.1,1.8890161374284227
